OBJECTID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,DCGIS_TRACT00PLY_AREA,DCGIS_TRACT00PLY_LEN,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
80,78.09,78.9,0.20477,13024.3688,2667,2000 Tract 78.09,1142,652,0.24446,2015,0.75553,-134,29,-173,18,0,23,15,-4.784,2801,2667,-134,-0.04784,31,2581,4,1,0,0,31,655,0.57355,78.9, ,78,145,21,41,175,184,223,1,1,0,45000,45000,0,72,426,30108487,29118.4594,24441,0,0,27477899,27992,Tract00Ply_101,,,,,0,0
81,84.01,84.01,0.08499,25167.66678,2139,2000 Tract 84.01,499,300,0.14025,1839,0.85974,425,445,-44,33,45,40,33,24.796,1714,2139,425,0.24795,454,1504,10,33,2,3,66,336,0.67334,84.1, ,36,71,13,41,66,100,107,9,9,0,765000,765000,0,50,122,25531637,40144.0833,31326.5,0,0,23523247,36400,Tract00Ply_102,,,,,0,0
82,87.01,87.1,0.14844,16269.19968,2415,2000 Tract 87.01,761,622,0.25755,1793,0.74244,-388,10,-393,8,2,20,21,-13.842,2803,2415,-388,-0.13842,34,2284,1,15,0,0,50,492,0.64651,87.1, ,66,92,11,39,106,172,158,0,0,0,0,0,0,63,212,29708610,34226.5092,25707.5,0,0,25616626,29655.5,Tract00Ply_103,,,,,0,0
83,96.01,96.1,0.80488,2910.99294,2343,2000 Tract 96.01,738,914,0.39009,1429,0.6099,944,1,936,10,12,6,11,67.477,1399,2343,944,0.67476,11,2289,10,7,0,0,6,325,0.44037,96.1, ,76,99,21,23,205,133,175,0,0,0,0,0,0,18,163,25056387,31281.382,24064,0,0,22361527,28553.5,Tract00Ply_104,,,,,0,0
84,1,1,0.89525,5220.88802,4674,2000 Tract 1,2724,460,0.09841,4214,0.90158,-32,-94,45,15,54,-41,12,-0.68,4706,4674,-32,-0.00679,4059,186,7,163,3,11,192,1445,0.53046,1, ,214,555,11,24,40,37,769,0,0,0,0,0,0,361,1482,413174189,203433.8695,76215,0,0,413250951,86791.5,Tract00Ply_105,,,,,0,0
85,2.02,2.2,0.46942,8201.6105,3850,2000 Tract 2.02,1916,315,0.08181,3535,0.91818,211,111,11,4,116,9,46,5.798,3639,3850,211,0.05798,3314,60,2,201,1,14,190,1080,0.56367,2.2, ,159,408,11,22,27,30,567,0,0,0,0,0,0,462,797,238180729,176560.9555,80963,0,0,225030623,101727.5,Tract00Ply_106,,,,,0,0
86,89.05,89.5,1.16865,1.71138,2,2000 Tract 89.05,1,0,0,2,1,2,0,0,0,2,0,0,100,0,2,2,0,0,0,0,2,0,0,0,1,1,89.5, ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,Tract00Ply_107,,,,,0,0
87,88.03,88.3,0.44596,4300.83416,1918,2000 Tract 88.03,425,334,0.17413,1584,0.82586,-266,229,-479,33,30,40,-14,-12.179,2184,1918,-266,-0.12179,605,1122,6,45,2,1,87,54,0.12705,88.3, ,22,26,21,18,87,58,48,0,0,0,0,0,0,33,160,8175017,18046.3951,9806,0,0,8040125,16167,Tract00Ply_108,,,,,0,0
88,88.04,88.4,0.30371,7497.28359,2277,2000 Tract 88.04,1031,615,0.27009,1662,0.7299,-817,1,-819,22,4,-3,11,-26.406,3094,2277,-817,-0.26405,5,2211,11,9,1,1,11,233,0.22599,88.4, ,43,96,33,42,168,145,139,0,0,0,0,0,0,73,431,21187081,26092.4643,22130,0,0,19336559,26717,Tract00Ply_109,,,,,0,0
89,33.02,33.2,0.07668,23865.41471,1830,2000 Tract 33.02,643,415,0.22677,1415,0.77322,-161,-30,-163,9,24,14,31,-8.086,1991,1830,-161,-0.08086,63,1664,2,22,0,2,52,381,0.59253,33.2, ,56,95,18,34,77,103,151,0,0,0,0,0,0,93,167,37066299,48771.4461,36876,0,0,34202365,44274,Tract00Ply_110,,,,,0,0
