OBJECTID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,DCGIS_TRACT00PLY_AREA,DCGIS_TRACT00PLY_LEN,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
124,98.07,98.7,0.40319,8030.95315,3238,2000 Tract 98.07,1287,878,0.27115,2360,0.72884,-146,-17,-97,8,-11,-2,-2,-4.314,3384,3238,-146,-0.04314,53,3115,1,16,1,0,28,531,0.41258,98.7, ,103,183,43,46,204,172,286,0,0,0,0,0,0,86,450,36668320,33004.7885,27939,0,0,33999545,31090,Tract00Ply_158,,,,,0,0
125,97,97,0.15934,14491.02548,2309,2000 Tract 97,844,817,0.35383,1492,0.64616,-2104,2,-2090,-1,5,-12,0,-47.677,4413,2309,-2104,-0.47677,3,2279,1,2,0,2,2,341,0.40402,97, ,68,94,32,27,240,130,162,0,0,0,0,0,0,57,196,37852197,32324.6772,26852,0,0,34208852,31130.5,Tract00Ply_159,,,,,0,0
126,98.01,98.1,0.16949,12337.01103,2091,2000 Tract 98.01,664,931,0.44524,1160,0.55475,-564,-9,-574,9,8,-52,12,-21.243,2655,2091,-564,-0.21242,1,2047,6,1,0,12,16,139,0.20933,98.1, ,31,51,14,15,292,131,82,0,0,0,0,0,0,22,108,8812141,23312.5423,20156,0,0,7801044,22931,Tract00Ply_160,,,,,0,0
127,98.02,98.2,0.0775,23303.22581,1806,2000 Tract 98.02,595,721,0.39922,1085,0.60077,-403,8,-393,-7,7,3,2,-18.244,2209,1806,-403,-0.18243,5,1772,2,3,0,0,7,143,0.24033,98.2, ,38,58,18,18,186,125,96,0,0,0,0,0,0,20,132,10992823,22618.9774,18705,0,0,10239680,22971,Tract00Ply_161,,,,,0,0
128,98.06,98.6,0.3442,17280.65078,5948,2000 Tract 98.06,2369,2164,0.36381,3784,0.63618,-1326,-35,-1276,27,13,-24,3,-22.395,5921,5948,-1326,-0.18229,45,5796,11,11,2,8,29,312,0.1317,98.5,Tracts Combined,138,186,55,72,757,294,324,0,0,0,0,0,0,109,758,56928931,24040.9337,21421,0,0,51261468,23960.5,Tract00Ply_162,,,,,0,0
129,98.08,98.8,0.20625,11966.06061,2468,2000 Tract 98.08,1161,696,0.282,1772,0.71799,88,1,96,13,8,-10,-1,3.697,2380,2468,88,0.03697,19,2390,5,4,1,2,22,82,0.07062,98.8, ,66,85,45,40,236,116,151,0,0,0,0,0,0,96,477,17013314,25242.3056,23078,0,0,16081510,26450,Tract00Ply_163,,,,,0,0
130,73.08,73.8,1.81397,207.83144,377,2000 Tract 73.08,1,110,0.29177,267,0.70822,-332,-63,-283,3,8,35,14,-46.827,709,377,-332,-0.46826,13,311,3,2,0,1,42,0,0,73.8, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119395,7959.6667,6346,0,0,,,Tract00Ply_164,,,,,0,0
131,76.05,76.5,0.1752,21238.58447,3721,2000 Tract 76.05,1696,875,0.23515,2846,0.76484,-157,-4,-146,23,25,11,11,-4.048,3878,3721,-157,-0.04048,43,3577,8,16,0,0,30,392,0.23113,76.5, ,121,205,48,58,225,223,326,0,0,0,0,0,0,112,704,49658308,34437.1068,30108,0,0,44444617,33743,Tract00Ply_142,,,,,0,0
132,74.04,74.4,0.31254,10603.44276,3314,2000 Tract 74.04,947,1604,0.484,1710,0.51599,-800,18,-813,12,1,26,8,-19.446,4114,3314,-800,-0.19445,11,3256,2,0,0,0,30,67,0.07074,74.4, ,50,47,24,18,452,150,97,0,0,0,0,0,0,31,175,21850437,23000.46,20349,0,0,19930246,24038,Tract00Ply_151,,,,,0,0
133,83.02,83.2,0.10072,19420.17474,1956,2000 Tract 83.02,885,255,0.13036,1701,0.86963,-8,62,-70,11,23,12,10,-0.407,1964,1956,-8,-0.00407,1047,778,2,31,1,2,60,515,0.58192,83.2, ,78,152,8,28,24,56,230,0,0,0,0,0,0,174,365,72796458,77443.0404,55101,0,0,69520318,66869,Tract00Ply_165,,,,,0,0
134,84.02,84.2,0.1036,14536.67954,1506,2000 Tract 84.02,1114,389,0.2583,1117,0.74169,-1257,-507,-730,7,-16,-27,26,-45.494,2763,1506,-1257,-0.45494,51,1368,5,8,0,5,39,418,0.37522,84.2, ,46,105,19,20,56,96,151,0,0,0,0,0,0,152,620,47048584,53403.6141,39242,0,0,43911129,46246,Tract00Ply_166,,,,,0,0
135,79.01,79.1,0.15377,23931.84626,3680,2000 Tract 79.01,1465,1115,0.30298,2565,0.69701,-199,-11,-209,15,8,28,35,-5.13,3879,3680,-199,-0.0513,22,3563,6,12,1,3,52,514,0.35085,79.1, ,86,139,35,55,301,257,225,0,0,0,0,0,0,99,493,40312440,28980.9058,22383,0,0,36581986,26443,Tract00Ply_167,,,,,0,0
136,80.01,80.1,0.12567,20514.04472,2578,2000 Tract 80.01,1136,514,0.19937,2064,0.80062,-373,-147,-231,18,18,23,21,-12.64,2951,2578,-373,-0.12639,311,2164,4,27,0,1,41,758,0.66725,80.1, ,84,151,17,49,96,156,235,0,0,0,0,0,0,130,453,66887535,55926.0326,43206,0,0,63648025,49288,Tract00Ply_168,,,,,0,0
137,77.08,77.8,0.32259,8388.35674,2706,2000 Tract 77.08,1152,837,0.30931,1869,0.69068,-185,-4,-176,9,2,-5,7,-6.399,2891,2706,-185,-0.06399,16,2654,4,2,0,1,7,224,0.19444,77.8, ,61,98,37,36,288,173,159,0,0,0,0,0,0,59,400,25759590,28060.5556,25137,0,0,23420239,29249,Tract00Ply_180,,,,,0,0
138,77.03,77.3,0.39044,11819.99795,4615,2000 Tract 77.03,1834,1564,0.33889,3051,0.6611,-1049,-7,-1063,23,13,21,35,-18.52,5664,4615,-1049,-0.1852,24,4419,12,6,3,1,104,382,0.20828,77.3, ,111,176,54,48,479,265,287,5,5,0,328425,328425,0,76,625,53075538,27861.1748,24661,0,0,49161742,27831,Tract00Ply_181,,,,,0,0
139,99.06,99.6,0.09573,16191.37157,1550,2000 Tract 99.06,697,399,0.25741,1151,0.74258,-403,3,-402,9,4,-2,2,-20.635,1953,1550,-403,-0.20634,10,1508,1,3,1,0,12,218,0.31276,99.6, ,22,85,26,32,134,103,107,0,0,0,0,0,0,31,264,18379439,27805.5053,24502,0,0,17125878,28932.5,Tract00Ply_182,,,,,0,0
140,99.03,99.3,0.14739,14119.004,2081,2000 Tract 99.03,847,660,0.31715,1421,0.68284,-1056,13,-1067,20,7,2,6,-33.663,3137,2081,-1056,-0.33662,3,2037,8,1,0,0,12,348,0.41086,99.3, ,32,118,12,25,134,132,150,0,0,0,0,0,0,26,368,19459263,33960.3194,29652,0,0,17967011,33310,Tract00Ply_183,,,,,0,0
141,99.04,99.4,0.16401,11359.06347,1863,2000 Tract 99.04,777,574,0.3081,1289,0.69189,-1460,17,-1468,7,7,6,-2,-43.936,3323,1863,-1460,-0.43936,12,1810,6,0,2,0,17,81,0.10424,99.4, ,35,81,28,29,176,101,116,0,0,0,0,0,0,55,272,14105124,23123.1541,20607.5,0,0,12650130,23166,Tract00Ply_184,,,,,0,0
142,99.05,99.5,0.16884,15813.7882,2670,2000 Tract 99.05,1041,859,0.32172,1811,0.67827,-499,7,-508,6,10,3,8,-15.746,3169,2670,-499,-0.15746,13,2623,0,4,0,2,9,395,0.37944,99.5, ,71,132,31,45,215,154,203,2,2,0,70000,70000,0,53,340,26482114,26967.5295,22693,0,0,24386768,27321.5,Tract00Ply_185,,,,,0,0
143,65,65,0.19242,12587.04916,2422,2000 Tract 65,1393,173,0.07142,2249,0.92857,26,-35,11,16,56,14,22,1.085,2396,2422,26,0.01085,1980,230,10,85,5,6,70,570,0.40918,65.1,Number Change,80,231,6,10,16,34,311,0,0,0,0,0,0,285,731,99925957,88744.1892,62019,0,0,98146096,74461,Tract00Ply_186,,,,,0,0
144,61,61,0.17697,12996.55309,2300,2000 Tract 61,1483,220,0.09565,2080,0.90434,242,-256,505,32,-7,43,57,11.759,2058,2300,242,0.11758,699,1343,8,59,2,6,125,346,0.23331,61, ,54,172,13,20,64,69,226,0,0,0,0,0,0,143,948,56596010,61651.427,51329,0,0,55240071,57866.5,Tract00Ply_187,,,,,0,0
145,60.01,60.1,0.2508,10685.80542,2680,2000 Tract 60.01,1684,253,0.0944,2427,0.90559,607,-158,667,34,114,38,152,29.281,2073,2680,607,0.29281,651,1532,12,129,0,25,154,270,0.16033,60.1, ,76,177,20,26,58,59,253,0,0,0,0,0,0,162,1106,64917693,53298.5985,44386.5,0,0,60008823,52888,Tract00Ply_188,,,,,0,0
146,79.03,79.3,0.09366,19645.52637,1840,2000 Tract 79.03,792,438,0.23804,1402,0.76195,-175,7,-167,4,16,17,4,-8.685,2015,1840,-175,-0.08684,17,1765,1,0,0,2,39,479,0.60479,79.3, ,56,108,21,29,99,141,164,0,0,0,0,0,0,38,300,25964231,34073.794,28292.5,0,0,23945889,32263,Tract00Ply_169,,,,,0,0
147,68.04,68.4,0.79358,3311.57539,2628,2000 Tract 68.04,171,114,0.04337,2514,0.95662,-554,65,-649,-2,14,4,68,-17.41,3182,2628,-554,-0.1741,174,2269,2,19,0,7,122,21,0.1228,68.4, ,11,14,0,6,3,5,25,0,0,0,0,0,0,7,125,793918,44106.5556,39437,0,0,446777,42017,Tract00Ply_170,,,,,0,0
148,81,81,0.11284,22394.54094,2527,2000 Tract 81,1339,253,0.10011,2274,0.89988,-209,117,-339,21,17,3,45,-7.639,2736,2527,-209,-0.07638,1511,813,5,43,2,17,75,695,0.51904,81.1,Number Change,92,254,14,34,20,57,346,5,5,0,950000,950000,0,229,639,107888708,83894.7963,57799.5,0,0,107527630,68658,Tract00Ply_171,,,,,0,0
149,78.08,78.8,0.37875,10592.73927,4012,2000 Tract 78.08,1366,1369,0.34122,2643,0.65877,-757,24,-754,10,-4,2,0,-15.873,4769,4012,-757,-0.15873,22,3926,7,4,0,1,29,546,0.3997,78.8, ,71,198,23,56,345,289,269,1,1,0,68150,68150,0,49,335,34121504,28482.0568,23379.5,0,0,30322222,26932,Tract00Ply_172,,,,,0,0
150,96.04,96.4,0.21164,9364.95936,1982,2000 Tract 96.04,944,362,0.18264,1620,0.81735,-282,9,-289,10,1,-1,3,-12.456,2264,1982,-282,-0.12455,9,1935,7,1,0,0,17,668,0.70762,96.4, ,36,156,14,49,94,172,192,0,0,0,0,0,0,53,370,32347731,34745.1461,30758,0,0,28702698,32970,Tract00Ply_173,,,,,0,0
151,96.03,96.3,0.24736,13057.89133,3230,2000 Tract 96.03,1613,677,0.20959,2553,0.7904,-101,1,-81,9,13,-1,2,-3.032,3331,3230,-101,-0.03032,12,3138,7,8,2,1,29,489,0.30316,96.3, ,88,199,37,53,193,213,287,0,0,0,0,0,0,68,762,42626708,30146.1867,26859,0,0,38654227,30446.5,Tract00Ply_174,,,,,0,0
152,82,82,0.13132,19075.54066,2505,2000 Tract 82,1525,138,0.05508,2367,0.94491,-190,-181,-8,22,2,10,18,-7.05,2695,2505,-190,-0.0705,2151,166,17,45,4,9,79,592,0.38819,82, ,76,229,1,17,16,23,305,0,0,0,0,0,0,280,883,99196094,85958.487,55675,0,0,98746287,70724,Tract00Ply_175,,,,,0,0
153,80.02,80.2,0.2232,13906.81004,3104,2000 Tract 80.02,1498,540,0.17396,2564,0.82603,-477,-23,-429,15,21,8,1,-13.32,3581,3104,-477,-0.1332,767,2208,3,20,4,6,48,722,0.48197,80.2, ,102,203,25,52,114,158,305,0,0,0,0,0,0,187,657,88292909,63292.4079,48762,0,0,81882721,55279.5,Tract00Ply_176,,,,,0,0
154,66,66,0.11457,16033.86576,1837,2000 Tract 66,1057,146,0.07947,1691,0.92052,46,42,-12,5,35,3,12,2.568,1791,1837,46,0.02568,1595,87,4,65,1,6,55,500,0.47303,66, ,76,230,3,6,16,22,306,0,0,0,0,0,0,188,516,78310811,93897.8549,57740,0,0,77546123,74393,Tract00Ply_177,,,,,0,0
155,67,67,0.16536,21425.97968,3543,2000 Tract 67,1877,346,0.09765,3197,0.90234,63,263,-196,6,31,75,45,1.81,3480,3543,63,0.0181,2469,801,6,56,0,14,139,1084,0.57751,67.1,Number Change,157,375,8,24,41,79,532,0,0,0,0,0,0,388,805,174645637,102311.4452,62369,0,0,168983179,75773,Tract00Ply_178,,,,,0,0
156,68.01,68.1,0.09441,21152.42029,1997,2000 Tract 68.01,875,417,0.20881,1580,0.79118,-421,-46,-351,13,2,-27,-7,-17.411,2418,1997,-421,-0.17411,106,1840,3,8,0,1,20,432,0.49371,68.1, ,42,115,20,30,75,133,157,0,0,0,0,0,0,69,391,35300947,43527.6782,34625,0,0,31680438,39615.5,Tract00Ply_179,,,,,0,0
157,69,69,0.1584,11704.54545,1854,2000 Tract 69,971,192,0.10355,1662,0.89644,-224,0,-208,4,15,20,5,-10.78,2078,1854,-224,-0.10779,731,988,4,32,2,2,68,554,0.57054,69, ,52,164,10,20,29,85,216,0,0,0,0,0,0,163,448,70432468,71000.4718,49494.5,0,0,63249585,59514,Tract00Ply_125,,,,,0,0
158,99.07,99.7,0.18027,16846.95179,3037,2000 Tract 99.07,1040,1199,0.39479,1838,0.6052,-60,15,-82,1,6,20,10,-1.937,3097,3037,-60,-0.01937,18,2980,1,2,1,0,25,280,0.26923,99.7, ,65,122,28,25,350,197,187,0,0,0,0,0,0,30,223,24002437,25920.5583,21880.5,0,0,21952976,25443,Tract00Ply_126,,,,,0,0
159,70,70,0.16854,12649.81607,2132,2000 Tract 70,1048,169,0.07926,1963,0.92073,-18,-71,35,12,18,21,30,-0.837,2150,2132,-18,-0.00837,1450,483,7,51,2,3,104,536,0.51145,70.1,Number Change,50,192,7,18,37,38,242,0,0,0,0,0,0,229,477,86410290,77637.2776,54294,0,0,84652785,65452,Tract00Ply_127,,,,,0,0
160,99.01,99.1,0.81156,2836.5124,2302,2000 Tract 99.01,1014,337,0.14639,1965,0.8536,-336,-114,-212,21,-1,13,12,-12.737,2638,2302,-336,-0.12736,91,2148,4,0,2,1,31,867,0.85502,99.1, ,76,351,13,36,55,134,427,1,1,0,200000,200000,0,42,307,60268717,57180.9459,47329,0,0,57990181,55047,Tract00Ply_128,,,,,0,0
161,71,71,0.28693,9821.21075,2818,2000 Tract 71,1103,985,0.34953,1833,0.65046,-62,-61,-33,6,45,-5,35,-2.153,2880,2818,-62,-0.02152,224,2403,8,55,1,12,82,334,0.30281,71, ,71,74,23,12,306,124,145,1,1,0,50000,50000,0,118,375,32556114,35894.2822,27384,0,0,29512629,31681,Tract00Ply_129,,,,,0,0
162,77.09,77.9,0.35129,5633.52216,1979,2000 Tract 77.09,950,463,0.23395,1516,0.76604,-364,-69,-283,18,8,-6,-10,-15.536,2343,1979,-364,-0.15535,29,1878,6,8,0,1,35,299,0.31473,77.9, ,56,105,22,28,130,109,161,0,0,0,0,0,0,66,434,27328907,31667.3314,26041,0,0,24180741,28385,Tract00Ply_130,,,,,0,0
163,77.07,77.7,0.33001,11502.68174,3796,2000 Tract 77.07,1478,1044,0.27502,2752,0.72497,-402,1,-391,40,6,-3,-3,-9.576,4198,3796,-402,-0.09575,22,3698,8,8,0,1,15,876,0.59269,77.7, ,116,263,28,70,260,237,379,0,0,0,0,0,0,66,438,50221524,33548.1122,27606,0,0,46739459,31279,Tract00Ply_131,,,,,0,0
164,72,72,0.63729,2863.68843,1825,2000 Tract 72,845,565,0.30958,1260,0.69041,-264,-305,43,4,5,8,6,-12.638,2089,1825,-264,-0.12637,56,1721,2,7,2,0,22,29,0.03431,72, ,25,51,9,21,193,100,76,0,0,0,0,0,0,35,411,1838471,26263.8714,19240,0,0,1561512,20256,Tract00Ply_132,,,,,0,0
165,99.02,99.2,0.50459,5931.54839,2993,2000 Tract 99.02,1194,664,0.22185,2329,0.77814,-302,-16,-274,2,16,13,8,-9.165,3295,2993,-302,-0.09165,49,2869,5,2,2,3,29,898,0.75209,99.2, ,97,272,17,44,131,232,369,0,0,0,0,0,0,41,360,47013176,37282.4552,32936,0,0,43916609,36370.5,Tract00Ply_133,,,,,0,0
166,60.02,60.2,0.06444,9435.13346,608,2000 Tract 60.02,148,312,0.51315,296,0.48684,-183,-1,-189,8,5,-7,1,-23.135,791,608,-183,-0.23135,7,581,3,2,0,0,8,4,0.02702,60.2, ,14,3,2,1,70,46,17,0,0,0,0,0,0,2,10,2710650,17951.3245,15650,0,0,2476177,18892,Tract00Ply_134,,,,,0,0
167,76.01,76.1,0.48761,9376.34585,4572,2000 Tract 76.01,1878,1120,0.24496,3452,0.75503,-654,-94,-545,12,-7,19,19,-12.514,5226,4572,-654,-0.12514,108,4367,7,3,0,2,57,834,0.44408,76.1, ,134,277,47,81,267,299,411,0,0,0,0,0,0,117,656,58701354,31492.1427,25778,0,0,54274171,30075.5,Tract00Ply_135,,,,,0,0
168,63.01,63.1,0.14046,27210.59376,3822,2000 Tract 63.01,2504,435,0.11381,3387,0.88618,99,-358,447,35,51,64,76,2.659,3723,3822,99,0.02659,1361,2094,14,67,0,13,169,1469,0.58666,63.1, ,78,315,19,26,137,135,393,0,0,0,0,0,0,145,1649,126652468,68313.0895,52720,0,0,118065764,58085,Tract00Ply_136,,,,,0,0
169,14.01,14.1,0.30713,10256.24328,3150,2000 Tract 14.01,1460,626,0.19873,2524,0.80126,73,40,20,8,79,62,3,2.372,3077,3150,73,0.02372,2506,151,1,206,2,6,222,767,0.52534,14.1, ,300,335,10,19,53,47,635,1,1,0,125000,125000,0,116,580,182657821,130190.8917,58018,0,0,170621836,72305,Tract00Ply_2,,,,,0,0
170,21.01,21.1,0.23114,22639.95847,5233,2000 Tract 21.01,1938,1294,0.24727,3939,0.75272,-54,238,-714,33,51,623,534,-1.021,5287,5233,-54,-0.01021,65,4188,13,45,5,10,812,842,0.43446,21.1, ,209,288,60,88,205,317,497,0,0,0,0,0,0,131,640,70592381,31346.528,25446,0,0,63575823,29245,Tract00Ply_23,,,,,0,0
171,64,64,0.36623,6116.37496,2240,2000 Tract 64,961,633,0.28258,1607,0.71741,-276,40,-362,11,46,25,37,-10.97,2516,2240,-276,-0.10969,71,2027,4,45,0,2,60,138,0.1436,64.1,Number Change,28,78,19,30,218,192,106,0,0,0,0,0,0,39,357,17503568,24863.0227,18357.5,0,0,15375298,22174.5,Tract00Ply_137,,,,,0,0
172,76.04,76.4,0.52796,7129.32798,3764,2000 Tract 76.04,1747,841,0.22343,2923,0.77656,-523,-90,-426,18,2,-35,4,-12.2,4287,3764,-523,-0.12199,138,3546,7,13,0,13,22,643,0.36805,76.4, ,128,261,37,61,224,215,389,1,1,0,100000,100000,0,117,704,64471797,41973.8262,31557.5,0,0,58431109,36647,Tract00Ply_138,,,,,0,0
173,63.02,63.2,0.24545,232.22652,57,2000 Tract 63.02,20,6,0.10526,51,0.89473,-293,-250,-30,-2,-3,-21,-8,-83.714,350,57,-293,-0.83714,27,26,0,1,1,0,2,2,0.1,63.2, ,4,11,1,1,0,1,15,0,0,0,0,0,0,1,1,270473,54094.6,38627,0,0,,,Tract00Ply_139,,,,,0,0
174,74.01,74.1,0.54358,5511.60823,2996,2000 Tract 74.01,893,1346,0.44926,1650,0.55073,313,17,302,5,1,23,19,11.666,2683,2996,313,0.11666,12,2930,1,0,0,2,27,59,0.06606,74.1, ,45,56,16,25,391,194,101,0,0,0,0,0,0,25,141,14963202,19818.8106,17215,0,0,13336798,20335,Tract00Ply_140,,,,,0,0
175,73.01,73.1,3.79502,1379.17587,5234,2000 Tract 73.01,1361,1955,0.37351,3279,0.62648,-2533,-1202,-996,36,-104,-73,-46,-32.612,7767,5234,-2533,-0.32612,2844,1516,32,181,21,24,442,27,0.01983,73.1, ,873,293,37,4,103,7,1166,0,0,0,0,0,0,11,33,4099121,32024.3828,28339,0,0,2200818,30447.5,Tract00Ply_141,,,,,0,0
176,75.03,75.3,0.19178,13113.98477,2515,2000 Tract 75.03,870,941,0.37415,1574,0.62584,-503,-42,-434,15,-6,2,9,-16.667,3018,2515,-503,-0.16666,28,2424,3,5,1,3,26,292,0.33563,75.3, ,59,76,24,36,263,124,135,0,0,0,0,0,0,52,236,19665632,23439.3707,18495,0,0,17976840,22339,Tract00Ply_143,,,,,0,0
177,75.04,75.4,0.29717,7934.8521,2358,2000 Tract 75.04,856,836,0.35453,1522,0.64546,-313,-54,-262,14,7,7,10,-11.718,2671,2358,-313,-0.11718,21,2280,4,13,0,3,21,163,0.19042,75.4, ,56,69,36,30,254,119,125,0,0,0,0,0,0,59,233,17936998,23601.3132,20474.5,0,0,16286150,24208,Tract00Ply_144,,,,,0,0
178,76.03,76.3,0.47999,8864.76802,4255,2000 Tract 76.03,2138,875,0.20564,3380,0.79435,-214,-465,315,34,-5,-64,-11,-4.789,4469,4255,-214,-0.04788,265,3850,9,21,0,4,52,1056,0.49391,76.3, ,156,320,43,60,252,231,476,0,0,0,0,0,0,104,972,87914118,46173.3813,35907.5,0,0,75235327,39669,Tract00Ply_145,,,,,0,0
179,74.07,74.7,0.23869,9941.76547,2373,2000 Tract 74.07,898,784,0.33038,1589,0.66961,-774,25,-799,20,6,2,-6,-24.595,3147,2373,-774,-0.24594,25,2293,8,8,0,0,25,308,0.34298,74.7, ,79,111,32,37,213,129,190,0,0,0,0,0,0,51,246,27587429,30652.6989,27488.5,0,0,25308982,30162,Tract00Ply_146,,,,,0,0
180,75.02,75.2,0.24879,16966.116,4221,2000 Tract 75.02,1578,1445,0.34233,2776,0.65766,-173,-30,-126,23,17,-6,13,-3.937,4394,4221,-173,-0.03937,42,4077,3,6,0,3,34,249,0.15779,75.2, ,101,112,42,50,427,185,213,0,0,0,0,0,0,85,576,38218943,28736.0474,23938,0,0,34295034,28529,Tract00Ply_147,,,,,0,0
181,98.09,98.9,0.58605,1233.68313,723,2000 Tract 98.09,1,25,0.03457,698,0.96542,-818,-162,-645,1,-7,-17,-2,-53.082,1541,723,-818,-0.53082,100,591,6,5,0,5,14,0,0,98.9, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62614,6261.4,5018.5,0,0,,,Tract00Ply_148,,,,,0,0
182,74.06,74.6,0.14269,22615.46009,3227,2000 Tract 74.06,954,1545,0.47877,1682,0.52122,824,5,821,6,3,9,0,34.29,2403,3227,824,0.3429,5,3187,5,0,0,0,22,44,0.04612,74.6, ,71,43,29,27,477,163,114,0,0,0,0,0,0,23,121,20975882,23489.2296,19765,0,0,18727730,23445,Tract00Ply_149,,,,,0,0
183,74.08,74.8,0.14563,14873.30907,2166,2000 Tract 74.08,768,898,0.41458,1268,0.58541,-903,-39,-853,12,0,-18,-6,-29.423,3069,2166,-903,-0.29423,3,2136,0,0,0,0,10,92,0.11979,74.8, ,45,64,21,30,273,97,109,0,0,0,0,0,0,39,199,18664369,22299.1266,19970,0,0,17539493,23629,Tract00Ply_150,,,,,0,0
184,73.02,73.2,0.44545,7320.68695,3261,2000 Tract 73.02,1274,922,0.28273,2339,0.71726,-916,-71,-823,8,-8,11,19,-21.93,4177,3261,-916,-0.21929,55,3111,3,10,0,9,42,473,0.37127,73.2, ,87,182,39,49,210,180,269,0,0,0,0,0,0,79,448,35470952,28628.6941,23995,0,0,31685413,28101,Tract00Ply_152,,,,,0,0
185,74.03,74.3,0.12664,18224.88945,2308,2000 Tract 74.03,862,828,0.35875,1480,0.64124,-141,18,-151,7,0,-1,5,-5.757,2449,2308,-141,-0.05757,10,2250,6,1,0,9,14,115,0.13341,74.3, ,57,72,35,29,253,134,129,0,0,0,0,0,0,65,217,24626629,24875.3828,22928,0,0,22533743,26513.5,Tract00Ply_153,,,,,0,0
186,74.09,74.9,0.16078,21420.5747,3444,2000 Tract 74.09,1388,1327,0.3853,2117,0.61469,463,3,468,20,-7,16,13,15.532,2981,3444,463,0.15531,8,3368,0,1,0,7,33,247,0.17795,74.9, ,92,86,54,35,494,158,178,15,15,0,975000,975000,0,67,402,35202706,29117.2093,23199,0,0,32043360,27475,Tract00Ply_154,,,,,0,0
187,73.04,73.4,0.48385,9641.41779,4665,2000 Tract 73.04,1482,1888,0.40471,2777,0.59528,190,15,203,21,1,-12,-9,4.246,4475,4665,190,0.04245,38,4548,17,6,0,0,20,315,0.21255,73.4, ,128,149,57,46,539,199,277,0,0,0,0,0,0,63,301,30168145,27105.2516,21283,0,0,26812675,25550.5,Tract00Ply_155,,,,,0,0
188,98.04,98.4,0.20238,12679.11849,2566,2000 Tract 98.04,909,921,0.35892,1645,0.64107,-215,14,-228,7,1,10,14,-7.731,2781,2566,-215,-0.07731,15,2501,5,3,0,1,22,302,0.33223,98.4, ,63,114,22,30,254,151,177,0,0,0,0,0,0,38,237,30042722,31590.6646,25798,0,0,26209722,29215,Tract00Ply_156,,,,,0,0
