YEAR,NAME,Estimate!!Total,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
2009,South Carolina,4416867,2977453,1245855,13825,53258,2130,65895,58451,5985,52466
2010,South Carolina,4511428,3034000,1269484,14095,54288,2053,70689,66819,6321,60498
2011,South Carolina,4575864,3075318,1281627,14939,56575,1920,73405,72080,6998,65082
2012,South Carolina,4630351,3108466,1290704,15122,57635,1791,75211,81422,8035,73387
2013,South Carolina,4679602,3144146,1298534,14732,61097,2128,74130,84835,9589,75246
2014,South Carolina,4727273,3176381,1305347,15137,63199,2326,73984,90899,9117,81782
2015,South Carolina,4777576,3210708,1315058,14966,66982,2588,73324,93950,10215,83735
2016,South Carolina,4834605,3252252,1322368,15417,68553,2784,73149,100082,10470,89612
2017,South Carolina,4893444,3292598,1332110,14992,71994,3015,74328,104407,10727,93680
2018,South Carolina,4955925,3332986,1339360,16686,75084,3004,78597,110208,11089,99119
2019,South Carolina,5020806,3372011,1344139,17645,78805,4002,88274,115930,12267,103663
2020,South Carolina,5091517,3386329,1346560,16951,83573,3633,102760,151711,36953,114758
2021,South Carolina,5078903,3334961,1328691,15595,83441,4545,109896,201774,71597,130177
2022,South Carolina,5142750,3342861,1326209,15617,85834,2722,123269,246238,103873,142365
