Total_Pop,Black_Pop,White_Pop,Others_Pop,Total_household_income_white,Household_income_100_125,Household_income_125_150,Household_income_200
2343,2317.0,26.0,0.0,0.0,0.0,0.0,0.0
3710,3630.0,10.0,70.0,0.0,0.0,0.0,0.0
3037,2957.0,30.0,50.0,30.0,0.0,0.0,0.0
3926,3447.0,249.0,230.0,124.0,0.0,21.0,24.0
1662,1629.0,19.0,14.0,19.0,0.0,0.0,12.0
2519,1412.0,871.0,236.0,502.0,50.0,69.0,63.0
3303,1470.0,1583.0,250.0,769.0,148.0,36.0,212.0
3337,693.0,2449.0,195.0,1032.0,86.0,130.0,305.0
2695,183.0,2188.0,324.0,1254.0,146.0,38.0,271.0
2249,450.0,1675.0,124.0,892.0,126.0,68.0,237.0
1825,202.0,1433.0,190.0,729.0,26.0,83.0,211.0
2543,1353.0,1060.0,130.0,512.0,139.0,43.0,61.0
1490,1179.0,240.0,71.0,58.0,15.0,0.0,15.0
3295,2258.0,631.0,406.0,361.0,86.0,51.0,7.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,1986.0,79.0,9.0,71.0,18.0,14.0,0.0
1983,1532.0,335.0,116.0,181.0,0.0,13.0,0.0
4573,3936.0,352.0,285.0,125.0,4.0,0.0,0.0
1526,911.0,411.0,204.0,31.0,8.0,0.0,0.0
2785,2689.0,0.0,96.0,0.0,0.0,0.0,0.0
2575,2494.0,36.0,45.0,25.0,0.0,0.0,0.0
3349,3236.0,23.0,90.0,23.0,0.0,13.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2412,2354.0,8.0,50.0,8.0,0.0,0.0,0.0
4531,4184.0,184.0,163.0,70.0,13.0,8.0,17.0
4603,4358.0,86.0,159.0,27.0,0.0,0.0,0.0
1326,970.0,143.0,213.0,70.0,15.0,0.0,0.0
3048,2477.0,290.0,281.0,70.0,9.0,0.0,11.0
2636,2075.0,60.0,501.0,46.0,0.0,0.0,23.0
3363,2219.0,872.0,272.0,315.0,79.0,33.0,47.0
1281,969.0,109.0,203.0,69.0,8.0,0.0,0.0
4043,3685.0,154.0,204.0,91.0,16.0,18.0,18.0
5925,3337.0,1719.0,869.0,65.0,18.0,0.0,0.0
3076,2451.0,341.0,284.0,115.0,12.0,6.0,18.0
3497,2566.0,629.0,302.0,188.0,35.0,10.0,0.0
2659,2476.0,9.0,174.0,9.0,0.0,0.0,0.0
2012,1910.0,59.0,43.0,20.0,11.0,0.0,0.0
3186,2703.0,46.0,437.0,37.0,6.0,0.0,0.0
3197,2765.0,99.0,333.0,60.0,21.0,19.0,0.0
2747,2704.0,0.0,43.0,0.0,0.0,0.0,0.0
3577,3528.0,14.0,35.0,0.0,0.0,0.0,0.0
3627,3587.0,21.0,19.0,9.0,0.0,0.0,0.0
2151,2094.0,57.0,0.0,36.0,0.0,0.0,0.0
3051,3044.0,7.0,0.0,7.0,0.0,0.0,0.0
1598,1569.0,29.0,0.0,14.0,0.0,0.0,0.0
1262,1242.0,20.0,0.0,20.0,0.0,0.0,0.0
2369,2306.0,37.0,26.0,26.0,0.0,0.0,0.0
3012,2905.0,33.0,74.0,12.0,0.0,0.0,0.0
5796,5707.0,15.0,74.0,0.0,0.0,0.0,0.0
3211,3164.0,28.0,19.0,28.0,0.0,0.0,0.0
2545,2519.0,0.0,26.0,0.0,0.0,0.0,0.0
841,802.0,28.0,11.0,0.0,0.0,0.0,0.0
2122,2065.0,19.0,38.0,8.0,0.0,0.0,0.0
2753,2568.0,173.0,12.0,64.0,0.0,0.0,35.0
1350,1350.0,0.0,0.0,0.0,0.0,0.0,0.0
1572,1483.0,47.0,42.0,11.0,0.0,0.0,0.0
2491,2445.0,0.0,46.0,0.0,0.0,0.0,0.0
1897,1792.0,0.0,105.0,0.0,0.0,0.0,0.0
2703,2607.0,0.0,96.0,0.0,0.0,0.0,0.0
4701,81.0,3999.0,621.0,2142.0,215.0,201.0,674.0
3598,129.0,2905.0,564.0,80.0,9.0,29.0,10.0
4080,76.0,3628.0,376.0,1462.0,275.0,86.0,404.0
5168,106.0,4311.0,751.0,2080.0,277.0,189.0,430.0
1379,19.0,1122.0,238.0,525.0,27.0,9.0,214.0
3126,93.0,2501.0,532.0,1544.0,155.0,148.0,203.0
3129,103.0,2374.0,652.0,1332.0,103.0,110.0,278.0
5420,613.0,4141.0,666.0,1678.0,125.0,149.0,588.0
4284,264.0,3336.0,684.0,2433.0,306.0,31.0,373.0
2899,352.0,1811.0,736.0,1284.0,57.0,15.0,39.0
6605,149.0,5240.0,1216.0,2703.0,291.0,257.0,656.0
2786,71.0,2379.0,336.0,1141.0,113.0,61.0,331.0
7651,180.0,6421.0,1050.0,1392.0,142.0,80.0,773.0
2278,51.0,2079.0,148.0,784.0,105.0,28.0,324.0
7977,275.0,6308.0,1394.0,2359.0,168.0,365.0,729.0
3109,446.0,1771.0,892.0,1124.0,128.0,104.0,118.0
4315,131.0,3451.0,733.0,1463.0,40.0,125.0,637.0
4886,125.0,3600.0,1161.0,1818.0,115.0,195.0,526.0
4369,518.0,2966.0,885.0,1487.0,174.0,156.0,348.0
6264,316.0,4820.0,1128.0,3412.0,483.0,265.0,380.0
3401,235.0,2841.0,325.0,1128.0,64.0,58.0,375.0
3091,655.0,2169.0,267.0,944.0,120.0,47.0,395.0
6169,709.0,4813.0,647.0,1865.0,73.0,126.0,859.0
4293,2922.0,890.0,481.0,400.0,18.0,36.0,202.0
2830,2020.0,449.0,361.0,159.0,0.0,32.0,0.0
2360,1404.0,688.0,268.0,325.0,57.0,19.0,14.0
431,44.0,257.0,130.0,0.0,0.0,0.0,0.0
2991,2302.0,179.0,510.0,66.0,8.0,9.0,0.0
4344,3065.0,145.0,1134.0,86.0,29.0,11.0,0.0
5128,3924.0,197.0,1007.0,113.0,34.0,0.0,0.0
2383,1983.0,212.0,188.0,64.0,11.0,0.0,0.0
2720,1437.0,673.0,610.0,190.0,0.0,13.0,87.0
